Planet,Mass (kg),Diameter (AU),Density (kg/m^3),Gravity (m/s^2),Escape Velocity (km/s),Rotation Period (hours),Length of Day (hours),Distance from Sun (AU),Perihelion (AU),Aphelion (AU),Semi-major axis (AU),Orbital Period (years),Orbital Velocity (km/s),Orbital Inclination (deg),Orbital Eccentricity,Obliquity to Orbit (deg),Mean Temperature (C),Surface Pressure (bars),Number of Moons,Ring System?,Global Magnetic Field?
Mercury,3.3e+23 kg,3.261411461e-05 AU,5429,3.7,4.3,1407.6,4222.6,0.00038703776099999996 AU,0.00030749114 AU,0.00046658438199999997 AU,0.00038703776099999996 AU,0.2410958904109589 yr,47.4,7.0,0.206,0.034,167,0.0,0,No,Yes
Venus,4.87e+24 kg,8.091027736000001e-05 AU,5243,8.9,10.4,-5832.5,2802.0,0.000723272638 AU,0.0007185934249999999 AU,0.000727951851 AU,0.000723272638 AU,0.6156164383561643 yr,35.0,3.4,0.007,177.4,464,92.0,0,No,No
Earth,5.969999999999999e+24 kg,8.526863004000001e-05 AU,5514,9.8,11.2,23.9,24.0,0.001000014664 AU,0.000983303189 AU,0.001016726139 AU,0.001000014664 AU,1.0005479452054795 yr,29.8,0.0,0.017,23.4,15,1.0,1,No,Yes
Moon,7.3e+22 kg,2.3228950250000003e-05 AU,3340,1.6,2.4,655.7,708.7,2.5668825599999998e-06 AU,2.4265061699999997e-06 AU,2.71394354e-06 AU,2.570224855e-06 AU,0.0747945205479452 yr,1.0,5.1,0.055,6.7,-20,0.0,0,No,No
Mars,6.42e+23 kg,4.540173528000001e-05 AU,3934,3.7,5.0,24.6,24.7,0.0015240865199999999 AU,0.001381704753 AU,0.0016664682869999999 AU,0.0015240865199999999 AU,1.8821917808219177 yr,24.1,1.8,0.094,25.2,-65,0.01,2,No,No
Jupiter,1.898e+27 kg,0.0009557894165600001 AU,1326,23.1,59.5,9.9,9.9,0.005203953315 AU,0.0049506073539999996 AU,0.005457299275999999 AU,0.005203953315 AU,11.865753424657534 yr,13.1,1.3,0.049,3.1,-110,,95,Yes,Yes
Saturn,5.68e+26 kg,0.0008057337402400001 AU,687,9.0,35.5,10.7,10.7,0.00957233288 AU,0.009074999383999999 AU,0.010070334835 AU,0.0095726671095 AU,29.443835616438356 yr,9.7,2.5,0.052,26.7,-140,,274,Yes,Yes
Uranus,8.68e+25 kg,0.00034170287162 AU,1270,8.7,21.3,-17.2,17.2,0.01916471953 AU,0.018266979093 AU,0.020063128426 AU,0.0191650537595 AU,83.8054794520548 yr,6.8,0.8,0.047,97.8,-195,,28,Yes,Yes
Neptune,1.0199999999999999e+26 kg,0.00033107437352 AU,1638,11.0,23.5,16.1,16.1,0.03018092385 AU,0.029887470349000002 AU,0.030474377350999997 AU,0.03018092385 AU,163.83561643835617 yr,5.4,1.8,0.01,28.3,-200,,16,Yes,Yes
Pluto,1.3e+22 kg,1.588258584e-05 AU,1850,0.7,1.3,-153.3,153.3,0.039481862375999995 AU,0.029658188912 AU,0.049304867381 AU,0.0394815281465 AU,248.1095890410959 yr,4.7,17.2,0.244,119.5,-225,1e-05,5,No,Unknown
